job_title,company,category,skills,skills_list,salary,experience_level
Engineering Manager,DataInc,Technology,"AWS, Agile, Machine Learning, Kubernetes, MongoDB, Ruby","['AWS', 'Agile', 'Machine Learning', 'Kubernetes', 'MongoDB', 'Ruby']",151082.0,Not Specified
Engineering Manager,EnterpriseHub,Technology,"Java, Agile, Git, SQL, Ruby, Go","['Java', 'Agile', 'Git', 'SQL', 'Ruby', 'Go']",156891.0,Not Specified
Engineering Manager,StartupXYZ,Technology,"AWS, Python, Kubernetes, Git","['AWS', 'Python', 'Kubernetes', 'Git']",152134.0,Not Specified
Lead Engineer,WebDynamics,Technology,"Agile, Git, Docker, REST APIs, TypeScript","['Agile', 'Git', 'Docker', 'REST APIs', 'TypeScript']",151918.0,Not Specified
Senior Software Engineer,DigitalWorks,Technology,"Agile, Ruby, Docker, Git, JavaScript","['Agile', 'Ruby', 'Docker', 'Git', 'JavaScript']",148141.0,Not Specified
Senior Software Engineer,WebDynamics,Technology,"CI/CD, Python, Kubernetes, JavaScript, SQL, Docker, Machine Learning","['CI/CD', 'Python', 'Kubernetes', 'JavaScript', 'SQL', 'Docker', 'Machine Learning']",147870.0,Not Specified
Senior Data Scientist,WebDynamics,Technology,"Machine Learning, TypeScript, Node.js, Docker, Python, REST APIs, CI/CD","['Machine Learning', 'TypeScript', 'Node.js', 'Docker', 'Python', 'REST APIs', 'CI/CD']",149467.0,Not Specified
Lead Engineer,AI Solutions,Technology,"Java, Python, Machine Learning","['Java', 'Python', 'Machine Learning']",133652.0,Not Specified
Lead Engineer,AI Solutions,Technology,"TypeScript, Kubernetes, AWS, JavaScript, Go","['TypeScript', 'Kubernetes', 'AWS', 'JavaScript', 'Go']",138787.0,Not Specified
Project Manager,DataInc,Technology,"TypeScript, Java, JavaScript, Kubernetes, Go","['TypeScript', 'Java', 'JavaScript', 'Kubernetes', 'Go']",133004.0,Not Specified
Product Manager,EnterpriseHub,Technology,"Machine Learning, MongoDB, Python, REST APIs, AWS, React, Node.js","['Machine Learning', 'MongoDB', 'Python', 'REST APIs', 'AWS', 'React', 'Node.js']",134354.0,Not Specified
Product Manager,EnterpriseHub,Technology,"JavaScript, Machine Learning, Kubernetes, TensorFlow","['JavaScript', 'Machine Learning', 'Kubernetes', 'TensorFlow']",133776.0,Not Specified
Project Manager,TechCorp,Technology,"Java, CI/CD, TypeScript","['Java', 'CI/CD', 'TypeScript']",124814.0,Not Specified
Product Manager,EnterpriseHub,Technology,"AWS, React, Docker, Java, Kubernetes","['AWS', 'React', 'Docker', 'Java', 'Kubernetes']",130136.0,Not Specified
Engineering Manager,DigitalWorks,Technology,"AWS, Machine Learning, SQL, Go, TypeScript","['AWS', 'Machine Learning', 'SQL', 'Go', 'TypeScript']",124285.0,Not Specified
Engineering Manager,AI Solutions,Technology,"AWS, Go, Machine Learning, Git, Ruby","['AWS', 'Go', 'Machine Learning', 'Git', 'Ruby']",112849.0,Not Specified
Engineering Manager,DataInc,Technology,"Go, SQL, AWS, Java, React","['Go', 'SQL', 'AWS', 'Java', 'React']",112205.0,Not Specified
Engineering Manager,CloudSystems,Technology,"Docker, Agile, TensorFlow, AWS, Python, CI/CD","['Docker', 'Agile', 'TensorFlow', 'AWS', 'Python', 'CI/CD']",125001.0,Not Specified
Technical Lead,WebDynamics,Technology,"Node.js, Agile, Java","['Node.js', 'Agile', 'Java']",125359.0,Not Specified
Engineering Manager,EnterpriseHub,Technology,"React, REST APIs, Java, Docker, TypeScript, Machine Learning","['React', 'REST APIs', 'Java', 'Docker', 'TypeScript', 'Machine Learning']",116663.0,Not Specified
Engineering Manager,DataInc,Technology,"TensorFlow, CI/CD, Python, TypeScript, Java, Go, SQL","['TensorFlow', 'CI/CD', 'Python', 'TypeScript', 'Java', 'Go', 'SQL']",111856.0,Not Specified
Senior Software Engineer,DigitalWorks,Technology,"Docker, MongoDB, REST APIs, Go, Python, Git","['Docker', 'MongoDB', 'REST APIs', 'Go', 'Python', 'Git']",115867.0,Not Specified
Senior Software Engineer,EnterpriseHub,Technology,"Python, TypeScript, Node.js, TensorFlow","['Python', 'TypeScript', 'Node.js', 'TensorFlow']",119378.0,Not Specified
Senior Data Scientist,CloudSystems,Technology,"Ruby, React, Node.js","['Ruby', 'React', 'Node.js']",119028.0,Not Specified
Lead Engineer,TechCorp,Technology,"JavaScript, Java, MongoDB","['JavaScript', 'Java', 'MongoDB']",114184.0,Not Specified
Senior Data Scientist,CloudSystems,Technology,"SQL, Kubernetes, React, Machine Learning, Python, Agile, Java","['SQL', 'Kubernetes', 'React', 'Machine Learning', 'Python', 'Agile', 'Java']",118237.0,Not Specified
